Position (mm),Voltage (V)
0.7,0.038
0.8,0.024
0.9,0.035
1,0.042
1.1,0.046
1.2,0.044
1.3,0.038
1.4,0.032
1.5,0.027
1.6,0.035
1.7,0.057
1.8,0.088
1.9,0.118
2,0.136
2.1,0.131
2.2,0.102
2.3,0.064
2.4,0.036
2.5,0.038
2.6,0.076
2.7,0.146
2.8,0.223
2.9,0.272
3,0.272
3.1,0.218
3.2,0.133
3.3,0.058
3.4,0.035
3.5,0.08
3.6,0.184
3.7,0.31
3.8,0.413
3.9,0.442
4,0.384
4.1,0.258
4.2,0.121
4.3,0.037
4.4,0.051
4.5,0.161
4.6,0.331
4.7,0.488
4.8,0.568
4.9,0.529
5,0.39
5.1,0.212
5.2,0.069
5.3,0.029
5.4,0.111
5.5,0.284
5.6,0.467
5.7,0.594
5.8,0.597
5.9,0.482
6,0.298
6.1,0.125
6.2,0.028
6.3,0.056
6.4,0.193
6.5,0.369
6.6,0.513
6.7,0.561
6.8,0.485
6.9,0.338
7,0.169
7.1,0.047
7.2,0.025
7.3,0.102
7.4,0.238
7.5,0.357
7.6,0.422
7.7,0.4
7.8,0.298
7.9,0.172
8,0.064
8.1,0.018
8.2,0.039
8.3,0.114
8.4,0.197
8.5,0.25
8.6,0.25
8.7,0.2
8.8,0.125
8.9,0.054
9,0.016
9.1,0.014
9.2,0.04
9.3,0.073
9.4,0.094
9.5,0.089
9.6,0.056
9.7,0.018
9.8,0.008
