Position (mm),Voltage (V)
1.2,0.016
1.3,0.021
1.4,0.029
1.5,0.042
1.6,0.054
1.7,0.06
1.8,0.055
1.9,0.042
2,0.027
2.1,0.022
2.2,0.035
2.3,0.071
2.4,0.118
2.5,0.16
2.6,0.18
2.7,0.163
2.8,0.114
2.9,0.057
3,0.023
3.1,0.037
3.2,0.108
3.3,0.214
3.4,0.315
3.5,0.366
3.6,0.347
3.7,0.26
3.8,0.14
3.9,0.047
4,0.025
4.1,0.103
4.2,0.261
4.3,0.438
4.4,0.551
4.5,0.565
4.6,0.464
4.7,0.283
4.8,0.111
4.9,0.027
5,0.077
5.1,0.255
5.2,0.486
5.3,0.682
5.4,0.746
5.5,0.659
5.6,0.453
5.7,0.215
5.8,0.058
5.9,0.053
6,0.199
6.1,0.445
6.2,0.681
6.3,0.804
6.4,0.765
6.5,0.578
6.6,0.332
6.7,0.12
6.8,0.044
6.9,0.126
7,0.331
7.1,0.555
7.2,0.717
7.3,0.73
7.4,0.607
7.5,0.392
7.6,0.185
7.7,0.059
7.8,0.072
7.9,0.2
8,0.369
8.1,0.514
8.2,0.567
8.3,0.503
8.4,0.357
8.5,0.197
8.6,0.076
8.7,0.043
8.8,0.101
8.9,0.201
9,0.301
9.1,0.35
9.2,0.327
9.3,0.251
9.4,0.153
9.5,0.068
9.6,0.031
9.7,0.043
9.8,0.085
9.9,0.129
10,0.15
10.1,0.148
10.2,0.121
10.3,0.103
