Position (mm),Voltage (V)
0.8,0.017
0.9,0.02
1,0.023
1.1,0.026
1.2,0.029
1.3,0.033
1.4,0.036
1.5,0.04
1.6,0.043
1.7,0.047
1.8,0.051
1.9,0.055
2,0.059
2.1,0.063
2.2,0.068
2.3,0.072
2.4,0.077
2.5,0.081
2.6,0.085
2.7,0.09
2.8,0.095
2.9,0.1
3,0.104
3.1,0.109
3.2,0.114
3.3,0.118
3.4,0.122
3.5,0.126
3.6,0.131
3.7,0.134
3.8,0.138
3.9,0.141
4,0.144
4.1,0.148
4.2,0.151
4.3,0.154
4.4,0.156
4.5,0.158
4.6,0.161
4.7,0.163
4.8,0.165
4.9,0.166
5,0.167
5.1,0.168
5.2,0.168
5.3,0.169
5.4,0.168
5.5,0.168
5.6,0.167
5.7,0.166
5.8,0.165
5.9,0.163
6,0.161
6.1,0.159
6.2,0.157
6.3,0.154
6.4,0.151
6.5,0.148
6.6,0.145
6.7,0.141
6.8,0.138
6.9,0.134
7,0.13
7.1,0.126
7.2,0.122
7.3,0.117
7.4,0.112
7.5,0.107
7.6,0.103
7.7,0.099
7.8,0.094
7.9,0.089
8,0.085
8.1,0.08
8.2,0.075
8.3,0.07
8.4,0.064
8.5,0.06
8.6,0.055
8.7,0.051
8.8,0.046
8.9,0.042
9,0.038
9.1,0.034
9.2,0.03
9.3,0.027
9.4,0.024
9.5,0.021
9.6,0.014
9.7,0.009
9.8,0.008
