Position,Background Corrected,Error
0,35.4,6.74388612003495
0.2,66.2,7.18609768928867
0.4,59.2,7.08801805866774
0.6,35.8,6.74981481227448
0.8,75.8,7.3184697854128
1,132.6,8.05729483139347
1.2,174.6,8.56270985144306
1.4,59,7.08519583356734
1.6,166.6,8.46876614389605
1.8,353.8,10.4479663092872
2,220,9.07744457432817
2.2,30,6.66333249958307
2.4,278.8,9.70360757656656
2.6,516.4,11.9029408130932
2.8,301.2,9.93176721434811
3,45.6,6.89347517584563
3.2,373.2,10.6320270880016
3.4,713,13.4536240470737
3.6,384.2,10.7349895202557
3.8,36.4,6.75869809948632
4,381.2,10.7070070514593
4.2,759.4,13.7942016804163
4.4,365.4,10.5584089710524
4.6,51,6.97137002317335
4.8,425.6,11.1139551915598
5,710.8,13.4372616257927
5.2,298.2,9.90151503558925
5.4,43.8,6.86731388535576
5.6,357.4,10.4823661451029
5.8,535,12.0581922359863
6,251.2,9.41488183675186
6.2,42.2,6.84397545290747
6.4,260.2,9.50999474237499
6.6,352.6,10.4364745005198
6.8,142.6,8.18046453448702
7,39,6.79705818718657
7.2,139.6,8.14370922860093
7.4,156.8,8.35224520712844
7.6,77.2,7.33757453113766
7.8,44.6,6.87895340876794
