Frequency (Hz),Speaker (V),Resistor (V),Current (A),Impedance (Ohm),Phase (Degrees),Error (Degrees)
1,0.0955,0.133466666666667,0.0133466666666667,7.15534465534466,0.383333333333333,0.0240370085030933
10,0.105566666666667,0.1471,0.01471,7.17652390663947,3.00666666666667,0.0233333333333332
20,0.1069,0.1477,0.01477,7.23764387271496,5.94,0.00577350269189639
30,0.1083,0.1475,0.01475,7.34237288135593,8.99333333333333,0.0120185042515464
40,0.110333333333333,0.1472,0.01472,7.49547101449275,12.2066666666667,0.0176383420737641
50,0.1135,0.146933333333333,0.0146933333333333,7.72459165154265,15.7766666666667,0.012018504251547
60,0.1182,0.1466,0.01466,8.06275579809004,19.7166666666667,0.0317979733805647
70,0.1254,0.1459,0.01459,8.59492803289925,24.1966666666667,0.0145296631451347
80,0.1372,0.1448,0.01448,9.47513812154696,29.0666666666667,0.00666666666666653
90,0.157433333333333,0.142733333333333,0.0142733333333333,11.0298925735638,33.9466666666667,0.0176383420737627
100,0.194166666666667,0.1385,0.01385,14.0192539109507,37.3366666666667,0.0635959467611289
105,0.2238,0.1344,0.01344,16.6517857142857,37.27,0.0737111479583196
110,0.2619,0.1277,0.01277,20.5090054815975,34.2933333333333,0.083533093907611
113,0.287933333333333,0.121966666666667,0.0121966666666667,23.6075430445477,30.15,0.106926766215636
115,0.306066666666667,0.118366666666667,0.0118366666666667,25.8575049281892,25.58,0.0850490054811535
118,0.327433333333333,0.112333333333333,0.0112333333333333,29.1483679525223,17.2166666666667,0.0581186525805422
120,0.338966666666667,0.109766666666667,0.0109766666666667,30.8806559368357,9.72333333333333,0.140988573217044
121,0.3425,0.108533333333333,0.0108533333333333,31.5571253071253,5.76,0.14047538337137
122,0.344533333333333,0.107833333333333,0.0107833333333333,31.9505409582689,2.27333333333333,0.133458274794451
123,0.344,0.107633333333333,0.0107633333333333,31.9603592443481,-1.53666666666667,0.191949067318506
124,0.343,0.107733333333333,0.0107733333333333,31.8378712871287,-5.25666666666667,0.35526203162048
125,0.341566666666667,0.108333333333333,0.0108333333333333,31.5292307692308,-9,0.0115470053837923
126,0.338733333333333,0.109066666666667,0.0109066666666667,31.0574572127139,-12.9333333333333,0.184059169230381
127,0.335966666666667,0.110166666666667,0.0110166666666667,30.4962178517398,-16.1633333333333,0.224003968218819
128,0.3312,0.111433333333333,0.0111433333333333,29.7218067603949,-19.8633333333333,0.0811035004039766
129,0.325733333333333,0.112933333333333,0.0112933333333333,28.8429752066116,-22.8766666666667,0.174578858335647
130,0.3199,0.114633333333333,0.0114633333333333,27.9063681302704,-25.6,0.253837218179946
135,0.284866666666667,0.122666666666667,0.0122666666666667,23.2228260869565,-35.2666666666667,0.0554777232569767
140,0.251933333333333,0.129366666666667,0.0129366666666667,19.4743622777635,-40.3133333333333,0.0783865067753655
145,0.223866666666667,0.133933333333333,0.0133933333333333,16.7147834743654,-42.2866666666667,0.0688799277325738
150,0.2022,0.137166666666667,0.0137166666666667,14.7411907654921,-42.6833333333333,0.0240370085030924
160,0.172166666666667,0.1408,0.01408,12.2277462121212,-41.0666666666667,0.0240370085030924
170,0.153766666666667,0.142666666666667,0.0142666666666667,10.7780373831776,-38.5366666666667,0.0218581284143395
180,0.141733333333333,0.143833333333333,0.0143833333333333,9.8539976825029,-35.7466666666667,0.0317979733805656
200,0.128166666666667,0.144833333333333,0.0144833333333333,8.84925201380898,-30.6866666666667,0.00881917103688133
220,0.120866666666667,0.145733333333333,0.0145733333333333,8.29368709972552,-26.9466666666667,0.00881917103688223
240,0.116466666666667,0.145666666666667,0.0145666666666667,7.9954233409611,-23.97,0.0099999999999992
