Frequency (Hz),Speaker (V),Resistor (V),Current (A),Impedance (Ohm)
250,0.115,0.145466666666667,0.0145466666666667,7.90559120073327
500,0.1074,0.145066666666667,0.0145066666666667,7.40349264705882
750,0.108933333333333,0.145733333333333,0.0145733333333333,7.47483989021043
1000,0.111266666666667,0.145566666666667,0.0145566666666667,7.64369132127319
1250,0.112666666666667,0.1454,0.01454,7.74873911049977
1500,0.1164,0.143833333333333,0.0143833333333333,8.09269988412514
1750,0.119866666666667,0.1434,0.01434,8.35890283589028
2000,0.116366666666667,0.144333333333333,0.0144333333333333,8.06235565819861
2250,0.116833333333333,0.143533333333333,0.0143533333333333,8.13980492336275
2500,0.115,0.1409,0.01409,8.16181689141235
2750,0.1137,0.138633333333333,0.0138633333333333,8.20149074296706
3000,0.1209,0.1422,0.01422,8.50210970464135
3250,0.1133,0.1205,0.01205,9.40248962655602
3500,0.1235,0.1335,0.01335,9.25093632958802
3750,0.103266666666667,0.115566666666667,0.0115566666666667,8.93567926160946
4000,0.121433333333333,0.124233333333333,0.0124233333333333,9.77461765495036
4250,0.1143,0.1274,0.01274,8.97174254317111
4500,0.1251,0.131266666666667,0.0131266666666667,9.53021838496699
4750,0.124933333333333,0.121933333333333,0.0121933333333333,10.2460360852925
