Frequency (Hz),Speaker (V),Resistor (V),Current (A),Impedance (Ohm)
1250,0.0996,0.131266666666667,0.0131266666666667,7.58760792280345
1275,0.1112,0.1423,0.01423,7.81447645818693
1300,0.111,0.1359,0.01359,8.16777041942605
1325,0.110633333333333,0.142466666666667,0.0142466666666667,7.76555919513336
1350,0.112733333333333,0.143466666666667,0.0143466666666667,7.85780669144982
1375,0.112833333333333,0.1441,0.01441,7.83021050196623
1400,0.1125,0.1427,0.01427,7.88367203924317
1425,0.1139,0.141,0.0141,8.07801418439716
1450,0.113233333333333,0.1411,0.01411,8.02504134183794
1475,0.113566666666667,0.141733333333333,0.0141733333333333,8.01269990592662
1500,0.115933333333333,0.139533333333333,0.0139533333333333,8.30864787386527
1525,0.1169,0.140233333333333,0.0140233333333333,8.33610648918469
1550,0.114666666666667,0.139366666666667,0.0139366666666667,8.22769672327194
1575,0.1166,0.1396,0.01396,8.35243553008596
1600,0.116533333333333,0.1361,0.01361,8.56233161890767
1625,0.1186,0.140566666666667,0.0140566666666667,8.43727768555845
1650,0.119033333333333,0.137733333333333,0.0137733333333333,8.64230396902226
1675,0.112433333333333,0.130833333333333,0.0130833333333333,8.59363057324841
1700,0.1166,0.1376,0.01376,8.47383720930233
1725,0.118933333333333,0.139733333333333,0.0139733333333333,8.51145038167939
1750,0.1179,0.139733333333333,0.0139733333333333,8.4375
1775,0.113366666666667,0.139366666666667,0.0139366666666667,8.13441760344415
1800,0.110433333333333,0.137366666666667,0.0137366666666667,8.03931084688183
1825,0.113733333333333,0.138033333333333,0.0138033333333333,8.23955566288336
1850,0.1057,0.1336,0.01336,7.91167664670659
