Frequency (Hz),Speaker (V),Resistor (V),Current (A),Impedance (Ohm),Phase (Degrees),Error (Degrees)
10,0.1016,0.1697,0.01697,5.98703594578668,3.14666666666667,0.0133333333333333
30,0.1044,0.1699,0.01699,6.14479105356092,9.39333333333333,0.00881917103688178
50,0.1103,0.169266666666667,0.0169266666666667,6.51634501772351,16.7366666666667,0.0185592145427673
60,0.116,0.1686,0.01686,6.88018979833927,21.11,0.0199999999999996
70,0.125066666666667,0.1677,0.01677,7.45776187636653,25.8233333333333,0.0240370085030939
80,0.141,0.165866666666667,0.0165866666666667,8.5008038585209,31.07,0.00577350269189614
90,0.1706,0.162,0.0162,10.5308641975309,35.3466666666667,0.00881917103688245
95,0.1944,0.1582,0.01582,12.2882427307206,36.1933333333333,0.0176383420737649
100,0.228366666666667,0.152033333333333,0.0152033333333333,15.0208287656216,34.6833333333333,0.0392994204085044
105,0.2701,0.142833333333333,0.0142833333333333,18.9101516919487,28.5566666666667,0.0317979733805647
107,0.2864,0.138433333333333,0.0138433333333333,20.6886588008668,24.12,0.0550757054728604
109,0.303733333333333,0.133466666666667,0.0133466666666667,22.7572427572428,18.1133333333333,0.0504424865014057
110,0.308633333333333,0.131866666666667,0.0131866666666667,23.4049544994944,14.14,0.199749843554382
111,0.314,0.130333333333333,0.0130333333333333,24.0920716112532,10.6733333333333,0.10088497300281
112,0.317466666666667,0.129233333333333,0.0129233333333333,24.5653856074284,7.11,0.0781024967590664
113,0.319066666666667,0.128433333333333,0.0128433333333333,24.8429794964962,3.02666666666667,0.218276073916599
114,0.321433333333333,0.1278,0.01278,25.151278038602,-1.65,0.0757187779440037
115,0.3211,0.127666666666667,0.0127666666666667,25.1514360313316,-5.39,0.106926766215636
116,0.318833333333333,0.128,0.0128,24.9088541666667,-9.82333333333333,0.0440958551844099
117,0.3169,0.1292,0.01292,24.5278637770898,-13.3933333333333,0.318346422069488
118,0.312366666666667,0.1304,0.01304,23.9544989775051,-16.57,0.165227116418583
120,0.300766666666667,0.1357,0.01357,22.1640874478015,-23.4433333333333,0.121974496423547
122,0.288266666666667,0.1393,0.01393,20.6939459200766,-27.5766666666667,0.0783865067753649
124,0.274633333333333,0.142966666666667,0.0142966666666667,19.2096059687573,-32.13,0.142243921955679
126,0.261433333333333,0.146366666666667,0.0146366666666667,17.8615349578684,-34.8966666666667,0.114649223479466
130,0.240333333333333,0.1513,0.01513,15.8845560696189,-38.5133333333333,0.0731057073315387
135,0.212166666666667,0.146166666666667,0.0146166666666667,14.515393386545,-40.72,0.0929157324317757
140,0.1906,0.1529,0.01529,12.4656638325703,-41.0333333333333,0.039299420408506
160,0.144333333333333,0.160033333333333,0.0160033333333333,9.01895438450323,-36.5133333333333,0.0218581284143404
180,0.1262,0.161933333333333,0.0161933333333333,7.79333058871964,-30.96,0.0115470053837923
200,0.117866666666667,0.162533333333333,0.0162533333333333,7.25184577522559,-26.5,0.0152752523165199
250,0.109233333333333,0.163166666666667,0.0163166666666667,6.69458631256384,-19.8766666666667,0.00881917103688223
