 ,Area,XM,YM
1,1850,64.686,141.648
2,1859,66.646,146.340
3,1855,68.731,151.387
4,1864,70.633,156.864
5,1870,72.652,162.665
6,1862,74.712,168.909
7,1888,76.687,175.771
8,1869,78.689,182.826
9,1883,80.799,190.294
10,1876,82.933,198.160
11,1875,84.969,206.458
12,1886,87.215,215.118
13,1886,89.425,224.147
14,1910,91.623,233.713
15,1908,93.980,243.406
16,1922,96.172,253.784
17,1927,98.369,264.384
18,1925,100.668,275.360
19,1948,102.800,286.919
20,1948,105.022,298.629
21,1979,107.261,310.817
22,1980,109.575,323.534
23,1987,111.935,336.624
24,2018,114.233,350.109
25,2028,116.621,363.819
26,2063,118.921,378.201
27,2072,121.362,392.774
28,2101,123.790,408.081
29,2126,126.182,423.390
30,2144,128.627,439.264
31,2186,131.031,455.466
32,2191,133.584,471.907
33,2244,136.161,488.951
34,2256,138.706,506.077
35,2293,141.304,523.663
36,2335,143.930,541.784
37,2359,146.504,560.138
