 ,Area,XM,YM
1,1234,73.615,61.562
2,1214,73.574,67.470
3,1237,73.352,74.103
4,1251,72.994,80.959
5,1243,72.917,88.024
6,1263,72.608,95.515
7,1241,72.559,102.856
8,1257,72.330,110.837
9,1248,72.073,119.044
10,1240,71.773,127.269
11,1265,71.570,136.253
12,1241,71.389,145.399
13,1256,71.110,154.936
14,1254,71.041,164.490
15,1265,70.781,174.468
16,1278,70.510,184.725
17,1250,70.239,195.243
18,1262,70.141,206.179
19,1248,70.035,217.268
20,1262,69.870,228.919
21,1238,69.557,240.466
22,1237,69.376,252.748
23,1228,69.055,265.126
24,1208,68.725,277.938
25,1220,68.431,291.089
26,1207,68.164,304.203
27,1204,67.724,317.831
28,1199,67.434,331.606
29,1183,67.033,345.560
30,1202,66.641,359.967
31,1185,66.297,374.211
32,1188,65.928,389.272
33,1195,65.584,404.335
34,1187,65.045,420.004
35,1202,64.584,435.621
36,1183,63.965,451.723
37,1205,63.515,468.388
38,1190,62.939,485.192
39,1200,62.215,502.503
40,1214,61.771,519.932
41,1208,61.093,537.839
42,1232,60.641,556.058
43,1211,59.957,574.142
44,1234,59.491,592.961
45,1251,58.894,611.712
46,1257,58.313,631.173
47,1306,57.843,650.777
48,1302,57.334,670.534
49,1352,56.786,691.130
50,1357,56.173,711.610
51,1385,55.677,732.639
52,1421,54.950,753.599
