 ,Area,XM,YM
1,5521,240.682,95.364
2,5471,237.868,105.149
3,5396,236.320,110.559
4,5432,234.719,116.821
5,5368,233.203,123.255
6,5368,231.511,130.251
7,5358,229.809,137.260
8,5284,228.176,144.615
9,5282,226.608,152.295
10,5214,225.046,160.241
11,5205,223.343,168.624
12,5158,221.718,177.098
13,5135,220.015,185.989
14,5137,218.423,195.198
15,5075,216.745,204.665
16,5082,215.153,214.519
17,5020,213.599,224.459
18,4998,211.871,234.950
19,4986,210.363,245.467
20,4933,208.781,256.325
21,4910,207.267,267.663
22,4850,205.720,278.877
23,4846,203.958,290.889
24,4764,202.532,302.814
25,4696,201.159,315.042
26,4664,199.798,327.539
27,4583,198.210,340.212
28,4565,196.527,353.320
29,4499,195.128,366.409
30,4472,193.788,380.037
31,4422,190.812,407.760
32,4406,189.255,421.954
33,4382,187.960,436.330
34,4402,186.510,451.201
35,4389,185.192,465.893
36,4387,183.736,481.217
37,4438,182.314,496.757
38,4418,181.075,512.522
39,4510,179.643,529.118
