B (T),Alpha 1,Alpha 2,Waveshift (%),Delta E (micro eV),y pred,residual,res error
0.003,-0.999,-0.999,0,0,0.302448800568397,0.302448800568397,0.422544964304131
0.039,-0.999,-1.007,-0.00011,2.2,2.45161240814953,0.251612408149528,0.430678100795404
0.069,-0.999,-1.012,-0.00019,3.7,4.2425820811338,0.542582081133804,0.447608898198049
0.105,-0.999,-1.025,-0.00038,7.3,6.39174568871494,-0.908254311285065,0.478646617327773
0.133,-0.999,-1.032,-0.00048,9.2,8.06331738350026,-1.13668261649974,0.509595189865172
0.171,-0.999,-1.037,-0.00056,10.7,10.3318789692803,-0.368121030719657,0.559200846459128
0.202,-0.999,-1.039,-0.00058,11.2,12.1825476313641,0.982547631364096,0.604792857706109
0.236,-0.999,-1.046,-0.00069,13.3,14.2123132607463,0.912313260746272,0.658879186801973
0.267,-0.999,-1.058,-0.00086,16.6,16.06298192283,-0.537018077169975,0.711116326748414
0.297,-0.999,-1.062,-0.00094,18,17.8539515958143,-0.146048404185699,0.763767892014916
0.328,-0.999,-1.068,-0.00102,19.6,19.704620257898,0.104620257898048,0.819916866779025
,,,,,,,
0.003,-0.999,-0.999,0,0,-1.01853611071293,-1.01853611071293,0.496663029538585
0.039,-0.999,-0.985,0.00019,-3.7,-3.38807914877439,0.311920851225608,0.50622278897403
0.069,-0.999,-0.983,0.00023,-4.4,-5.36269834715895,-0.962698347158947,0.526123395633371
0.105,-0.999,-0.964,0.00049,-9.5,-7.73224138522041,1.76775861477959,0.56260540089954
0.133,-0.999,-0.961,0.00054,-10.3,-9.57521930371266,0.72478069628734,0.598982622485017
0.171,-0.999,-0.955,0.00061,-11.7,-12.0764036216664,-0.37640362166643,0.657289543091156
0.202,-0.999,-0.945,0.00075,-14.4,-14.1168434599971,0.283156540002865,0.710878790015383
0.236,-0.999,-0.937,0.00085,-16.4,-16.3547452181663,0.0452547818337052,0.774452332087081
0.267,-0.999,-0.932,0.00092,-17.8,-18.395185056497,-0.595185056497002,0.835852321134298
0.297,-0.999,-0.92,0.00107,-20.7,-20.3698042548816,0.330195745118445,0.897739429310524
0.328,-0.999,-0.914,0.00114,-21.9,-22.4102440932123,-0.510244093212261,0.963737423057187
