B (T),Alpha 1,Alpha 2,Waveshift (%),Delta E (micro eV),y pred,residual,res error
0.003,-0.946,-0.946,0,0,-2.19851320208073,-2.19851320208073,1.03543334477673
0.105,-0.944,-0.958,-0.00019,3.7,4.14669678014091,0.44669678014091,1.15075093257987
0.133,-0.946,-0.963,-0.00024,4.6,5.88851912820175,1.28851912820175,1.21521025862492
0.171,-0.946,-0.973,-0.00037,7.1,8.25242088628432,1.15242088628432,1.31951053086583
0.202,-0.946,-0.981,-0.00047,9.1,10.1808670573517,1.08086705735168,1.41623862706659
0.236,-0.946,-0.989,-0.00059,11.4,12.2959370514256,0.895937051425561,1.53184239798382
0.267,-0.946,-0.1,0.00074,14.3,14.2243832224929,-0.0756167775070775,1.64419982871082
0.297,-0.944,-1.007,-0.00089,17.1,16.0906214525581,-1.00937854744189,1.75801420320988
0.328,-0.943,-1.016,-0.00102,19.6,18.0190676236255,-1.58093237637453,1.87989851913769
,,,,,,,
0.003,-0.946,-0.946,0,0,-0.878792486420393,-0.878792486420393,0.843624398324018
0.133,-0.943,-0.909,0.00045,-8.7,-8.75049478903837,-0.0504947890383676,0.978195996427009
0.171,-0.946,-0.898,0.00063,-12.2,-11.0514539236498,1.14854607635022,1.05690910185654
0.202,-0.944,-0.89,0.0007,-13.5,-12.9285521650433,0.571447834956709,1.13022069823069
0.236,-0.946,-0.888,0.00077,-14.8,-14.9873050749588,-0.187305074958759,1.21815574932196
0.267,-0.955,-0.882,0.00095,-18.2,-16.8644033163523,1.33559668364772,1.30388982261995
0.297,-0.946,-0.874,0.00093,-18,-18.6809500015718,-0.680950001571809,1.39095477008442
0.328,-0.944,-0.866,0.001,-19.3,-20.5580482429653,-1.25804824296533,1.48439371634735
